Belarus,Lap-1-Place--1,Lap-2-Place--1,Lap-3-Place--1,Lap-4-Place--1,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place--1,Lap-9-Place--1,Lap-10-Place--1,Lap-11-Place--1,Lap-12-Place--1
Italy,Lap-1-Place-2,Lap-2-Place-3,Lap-3-Place-3,Lap-4-Place-4,Lap-5-Place-5,Lap-6-Place-5,Lap-7-Place-6,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-6,Lap-11-Place-7,Lap-12-Place-8
Poland,Lap-1-Place-4,Lap-2-Place-4,Lap-3-Place-4,Lap-4-Place-3,Lap-5-Place-3,Lap-6-Place-3,Lap-7-Place-3,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-4
Russia,Lap-1-Place-6,Lap-2-Place-6,Lap-3-Place-5,Lap-4-Place-5,Lap-5-Place-4,Lap-6-Place-4,Lap-7-Place-4,Lap-8-Place-5,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-5
Belgium,Lap-1-Place-9,Lap-2-Place-9,Lap-3-Place-9,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-10,Lap-9-Place-9,Lap-10-Place-9,Lap-11-Place-9,Lap-12-Place-9
Ukraine,Lap-1-Place-5,Lap-2-Place-5,Lap-3-Place-6,Lap-4-Place-6,Lap-5-Place-6,Lap-6-Place-8,Lap-7-Place-9,Lap-8-Place-9,Lap-9-Place-10,Lap-10-Place-10,Lap-11-Place-10,Lap-12-Place-10
Germany,Lap-1-Place-7,Lap-2-Place-7,Lap-3-Place-8,Lap-4-Place-8,Lap-5-Place-8,Lap-6-Place-9,Lap-7-Place-8,Lap-8-Place-7,Lap-9-Place-8,Lap-10-Place-7,Lap-11-Place-6,Lap-12-Place-6
Belarus,Lap-1-Place-8,Lap-2-Place-8,Lap-3-Place-7,Lap-4-Place-7,Lap-5-Place-7,Lap-6-Place-7,Lap-7-Place-7,Lap-8-Place-8,Lap-9-Place-7,Lap-10-Place-8,Lap-11-Place-8,Lap-12-Place-7
Canada,Lap-1-Place-10,Lap-2-Place-10,Lap-3-Place-10,Lap-4-Place-9,Lap-5-Place-9,Lap-6-Place-6,Lap-7-Place-5,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-3,Lap-11-Place-3,Lap-12-Place-3
Australia,Lap-1-Place-3,Lap-2-Place-2,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-2,Lap-7-Place-2,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-2,Lap-12-Place-2
GreatBritain,Lap-1-Place-1,Lap-2-Place-1,Lap-3-Place-1,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
Mexico,Lap-1-Place-6,Lap-2-Place-7,Lap-3-Place-7,Lap-4-Place-7,Lap-5-Place-8,Lap-6-Place-8,Lap-7-Place-8,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-8,Lap-11-Place-8,Lap-12-Place-8
Cuba,Lap-1-Place-5,Lap-2-Place-6,Lap-3-Place-6,Lap-4-Place-6,Lap-5-Place-4,Lap-6-Place-5,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-6
Venezuela,Lap-1-Place-8,Lap-2-Place-8,Lap-3-Place-8,Lap-4-Place-8,Lap-5-Place-7,Lap-6-Place-7,Lap-7-Place-7,Lap-8-Place-7,Lap-9-Place-7,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-5
Italy,Lap-1-Place-1,Lap-2-Place-1,Lap-3-Place-1,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-4
Russia,Lap-1-Place-2,Lap-2-Place-2,Lap-3-Place-3,Lap-4-Place-5,Lap-5-Place-6,Lap-6-Place-6,Lap-7-Place-6,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-7,Lap-11-Place-7,Lap-12-Place-7
TeamUsn,Lap-1-Place-3,Lap-2-Place-3,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-2,Lap-7-Place-1,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-2,Lap-12-Place-3
Ukraine,Lap-1-Place-4,Lap-2-Place-4,Lap-3-Place-5,Lap-4-Place-4,Lap-5-Place-5,Lap-6-Place-4,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-3,Lap-11-Place-3,Lap-12-Place-2
Canada,Lap-1-Place-7,Lap-2-Place-5,Lap-3-Place-4,Lap-4-Place-3,Lap-5-Place-3,Lap-6-Place-3,Lap-7-Place-2,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
